   0.1 [sweep] 902-928 MHz, 200kHz steps, reporting anything > -95 dBm
   0.1 [sweep] station should read around -40 dBm at 30cm
  19.7 [DETECT] 927.802 MHz  rssi=-92.5 dBm
  19.7 [sweep] pass 5 strongest=-67.5dBm @ 920.801MHz  detections=91
  19.7 [DETECT] 902.000 MHz  rssi=-94.0 dBm
  19.7 [DETECT] 902.200 MHz  rssi=-92.5 dBm
  19.7 [DETECT] 902.400 MHz  rssi=-93.0 dBm
  19.7 [DETECT] 902.800 MHz  rssi=-92.5 dBm
  19.9 [DETECT] 903.000 MHz  rssi=-91.0 dBm
  19.9 [DETECT] 903.200 MHz  rssi=-91.0 dBm
  19.9 [DETECT] 903.400 MHz  rssi=-85.0 dBm
  19.9 [DETECT] 903.600 MHz  rssi=-91.0 dBm
  19.9 [DETECT] 903.800 MHz  rssi=-85.5 dBm
  19.9 [DETECT] 904.000 MHz  rssi=-88.0 dBm
  20.4 [DETECT] 904.200 MHz  rssi=-88.0 dBm
  20.4 [DETECT] 904.400 MHz  rssi=-91.5 dBm
  20.4 [DETECT] 904.600 MHz  rssi=-94.0 dBm
  21.1 [DETECT] 911.201 MHz  rssi=-94.0 dBm
  21.1 [DETECT] 911.401 MHz  rssi=-94.0 dBm
  21.1 [DETECT] 911.601 MHz  rssi=-93.5 dBm
  21.1 [DETECT] 911.801 MHz  rssi=-94.0 dBm
  21.1 [DETECT] 912.001 MHz  rssi=-94.5 dBm
  21.1 [DETECT] 912.201 MHz  rssi=-92.0 dBm
  21.6 [DETECT] 912.401 MHz  rssi=-94.0 dBm
  21.6 [DETECT] 913.001 MHz  rssi=-82.0 dBm
  21.6 [DETECT] 913.201 MHz  rssi=-70.0 dBm
  23.1 [DETECT] 923.201 MHz  rssi=-80.0 dBm
  23.6 [DETECT] 927.802 MHz  rssi=-92.5 dBm
  23.6 [sweep] pass 6 strongest=-70.0dBm @ 913.201MHz  detections=115
  23.6 [DETECT] 902.000 MHz  rssi=-87.5 dBm
  23.6 [DETECT] 902.200 MHz  rssi=-94.5 dBm
  23.6 [DETECT] 902.400 MHz  rssi=-94.0 dBm
  23.6 [DETECT] 902.600 MHz  rssi=-94.0 dBm
  23.7 [DETECT] 902.800 MHz  rssi=-89.5 dBm
  23.7 [DETECT] 903.000 MHz  rssi=-91.0 dBm
  23.7 [DETECT] 903.200 MHz  rssi=-93.0 dBm
  23.7 [DETECT] 903.400 MHz  rssi=-88.0 dBm
  23.7 [DETECT] 903.600 MHz  rssi=-86.5 dBm
  23.7 [DETECT] 903.800 MHz  rssi=-90.5 dBm
  24.2 [DETECT] 904.000 MHz  rssi=-89.5 dBm
  24.2 [DETECT] 904.200 MHz  rssi=-86.5 dBm
  24.2 [DETECT] 904.400 MHz  rssi=-93.0 dBm
  24.2 [DETECT] 904.600 MHz  rssi=-94.0 dBm
  24.2 [DETECT] 905.400 MHz  rssi=-64.5 dBm
  25.2 [DETECT] 911.001 MHz  rssi=-94.0 dBm
  25.2 [DETECT] 912.001 MHz  rssi=-94.0 dBm
  25.2 [DETECT] 912.201 MHz  rssi=-92.5 dBm
  25.2 [DETECT] 912.401 MHz  rssi=-93.0 dBm
  26.8 [DETECT] 923.801 MHz  rssi=-82.0 dBm
  27.5 [DETECT] 927.802 MHz  rssi=-92.5 dBm
  27.5 [sweep] pass 7 strongest=-64.5dBm @ 905.400MHz  detections=136
  27.5 [DETECT] 902.000 MHz  rssi=-88.5 dBm
  27.5 [DETECT] 902.600 MHz  rssi=-94.0 dBm
  27.5 [DETECT] 902.800 MHz  rssi=-93.0 dBm
  27.5 [DETECT] 903.000 MHz  rssi=-89.5 dBm
  27.7 [DETECT] 903.200 MHz  rssi=-90.0 dBm
  27.7 [DETECT] 903.400 MHz  rssi=-88.5 dBm
  27.7 [DETECT] 903.600 MHz  rssi=-86.5 dBm
  27.7 [DETECT] 903.800 MHz  rssi=-88.0 dBm
  27.7 [DETECT] 904.000 MHz  rssi=-84.5 dBm
  27.7 [DETECT] 904.200 MHz  rssi=-88.0 dBm
  28.2 [DETECT] 904.400 MHz  rssi=-92.5 dBm
  28.2 [DETECT] 904.600 MHz  rssi=-94.0 dBm
  28.2 [DETECT] 904.800 MHz  rssi=-94.0 dBm
  28.7 [DETECT] 908.000 MHz  rssi=-91.5 dBm
  29.2 [DETECT] 911.401 MHz  rssi=-94.0 dBm
  29.2 [DETECT] 911.601 MHz  rssi=-94.0 dBm
  29.2 [DETECT] 912.001 MHz  rssi=-94.0 dBm
  29.2 [DETECT] 912.201 MHz  rssi=-94.5 dBm
  29.7 [DETECT] 916.001 MHz  rssi=-63.0 dBm
  29.7 [DETECT] 916.201 MHz  rssi=-63.0 dBm
  29.7 [DETECT] 916.401 MHz  rssi=-64.5 dBm
  31.2 [DETECT] 927.802 MHz  rssi=-92.5 dBm
  31.2 [sweep] pass 8 strongest=-63.0dBm @ 916.001MHz  detections=158
  31.4 [DETECT] 902.000 MHz  rssi=-88.5 dBm
  31.4 [DETECT] 902.200 MHz  rssi=-94.0 dBm
  31.4 [DETECT] 902.400 MHz  rssi=-94.0 dBm
  31.4 [DETECT] 902.600 MHz  rssi=-93.0 dBm
  31.4 [DETECT] 902.800 MHz  rssi=-91.5 dBm
  31.4 [DETECT] 903.000 MHz  rssi=-90.5 dBm
  31.6 [DETECT] 903.200 MHz  rssi=-89.5 dBm
  31.6 [DETECT] 903.400 MHz  rssi=-89.5 dBm
  31.6 [DETECT] 903.600 MHz  rssi=-90.0 dBm
  31.6 [DETECT] 903.800 MHz  rssi=-87.5 dBm
  31.6 [DETECT] 904.000 MHz  rssi=-89.5 dBm
  31.6 [DETECT] 904.200 MHz  rssi=-89.5 dBm
  31.6 [DETECT] 904.400 MHz  rssi=-87.0 dBm
  32.1 [DETECT] 904.600 MHz  rssi=-92.5 dBm
  32.6 [DETECT] 908.400 MHz  rssi=-76.5 dBm
  33.1 [DETECT] 911.401 MHz  rssi=-94.0 dBm
  33.1 [DETECT] 911.601 MHz  rssi=-94.5 dBm
  35.1 [DETECT] 926.802 MHz  rssi=-63.5 dBm
  35.1 [DETECT] 927.802 MHz  rssi=-92.5 dBm
  35.1 [sweep] pass 9 strongest=-63.5dBm @ 926.802MHz  detections=177
  35.1 [DETECT] 902.000 MHz  rssi=-94.0 dBm
  35.4 [DETECT] 902.200 MHz  rssi=-91.0 dBm
  35.4 [DETECT] 902.400 MHz  rssi=-93.0 dBm
  35.4 [DETECT] 902.600 MHz  rssi=-88.5 dBm
  35.4 [DETECT] 902.800 MHz  rssi=-88.5 dBm
  35.4 [DETECT] 903.000 MHz  rssi=-90.0 dBm
  35.4 [DETECT] 903.200 MHz  rssi=-85.0 dBm
  35.9 [DETECT] 903.400 MHz  rssi=-88.0 dBm
  35.9 [DETECT] 903.600 MHz  rssi=-86.5 dBm
  35.9 [DETECT] 903.800 MHz  rssi=-89.5 dBm
  35.9 [DETECT] 904.000 MHz  rssi=-91.0 dBm
  35.9 [DETECT] 904.200 MHz  rssi=-90.5 dBm
  35.9 [DETECT] 904.400 MHz  rssi=-89.0 dBm
  35.9 [DETECT] 904.600 MHz  rssi=-94.0 dBm
  36.9 [DETECT] 911.401 MHz  rssi=-94.5 dBm
  37.9 [DETECT] 919.001 MHz  rssi=-76.0 dBm
